Across bond b=1, SvN = 0.6931471806
Across bond b=2, SvN = 0.4295560427
Across bond b=3, SvN = 0.7377159326
Across bond b=4, SvN = 0.5566288415
Across bond b=5, SvN = 0.7751147168
Across bond b=6, SvN = 0.6301063120
Across bond b=7, SvN = 0.8051888640
Across bond b=8, SvN = 0.6811390000
Across bond b=9, SvN = 0.8299634173
Across bond b=10, SvN = 0.7198570465
Across bond b=11, SvN = 0.8508527972
Across bond b=12, SvN = 0.7507767092
Across bond b=13, SvN = 0.8687809493
Across bond b=14, SvN = 0.7762919832
Across bond b=15, SvN = 0.8843690916
Across bond b=16, SvN = 0.7978203591
Across bond b=17, SvN = 0.8980509841
Across bond b=18, SvN = 0.8162684372
Across bond b=19, SvN = 0.9101399340
Across bond b=20, SvN = 0.8322497828
Across bond b=21, SvN = 0.9208688658
Across bond b=22, SvN = 0.8461979529
Across bond b=23, SvN = 0.9304151203
Across bond b=24, SvN = 0.8584298411
Across bond b=25, SvN = 0.9389163861
Across bond b=26, SvN = 0.8691832591
Across bond b=27, SvN = 0.9464812857
Across bond b=28, SvN = 0.8786405436
Across bond b=29, SvN = 0.9531966062
Across bond b=30, SvN = 0.8869438324
Across bond b=31, SvN = 0.9591323620
Across bond b=32, SvN = 0.8942053467
Across bond b=33, SvN = 0.9643454254
Across bond b=34, SvN = 0.9005145015
Across bond b=35, SvN = 0.9688821616
Across bond b=36, SvN = 0.9059429003
Across bond b=37, SvN = 0.9727803835
Across bond b=38, SvN = 0.9105479630
Across bond b=39, SvN = 0.9760708030
Across bond b=40, SvN = 0.9143755492
Across bond b=41, SvN = 0.9787781424
Across bond b=42, SvN = 0.9174618900
Across bond b=43, SvN = 0.9809219519
Across bond b=44, SvN = 0.9198350159
Across bond b=45, SvN = 0.9825172261
Across bond b=46, SvN = 0.9215157841
Across bond b=47, SvN = 0.9835748471
Across bond b=48, SvN = 0.9225186054
Across bond b=49, SvN = 0.9841019011
Across bond b=50, SvN = 0.9228519378
Across bond b=51, SvN = 0.9841018814
Across bond b=52, SvN = 0.9225185694
Across bond b=53, SvN = 0.9835747887
Across bond b=54, SvN = 0.9215157118
Across bond b=55, SvN = 0.9825171290
Across bond b=56, SvN = 0.9198349060
Across bond b=57, SvN = 0.9809218165
Across bond b=58, SvN = 0.9174617410
Across bond b=59, SvN = 0.9787779696
Across bond b=60, SvN = 0.9143753675
Across bond b=61, SvN = 0.9760706036
Across bond b=62, SvN = 0.9105477615
Across bond b=63, SvN = 0.9727801669
Across bond b=64, SvN = 0.9059426841
Across bond b=65, SvN = 0.9688819308
Across bond b=66, SvN = 0.9005142707
Across bond b=67, SvN = 0.9643451782
Across bond b=68, SvN = 0.8942050978
Across bond b=69, SvN = 0.9591321008
Across bond b=70, SvN = 0.8869435678
Across bond b=71, SvN = 0.9531963368
Across bond b=72, SvN = 0.8786402774
Across bond b=73, SvN = 0.9464810149
Across bond b=74, SvN = 0.8691829915
Across bond b=75, SvN = 0.9389161035
Across bond b=76, SvN = 0.8584295613
Across bond b=77, SvN = 0.9304148274
Across bond b=78, SvN = 0.8461976679
Across bond b=79, SvN = 0.9208685726
Across bond b=80, SvN = 0.8322494926
Across bond b=81, SvN = 0.9101396516
Across bond b=82, SvN = 0.8162681609
Across bond b=83, SvN = 0.8980507249
Across bond b=84, SvN = 0.7978201088
Across bond b=85, SvN = 0.8843688670
Across bond b=86, SvN = 0.7762917583
Across bond b=87, SvN = 0.8687807592
Across bond b=88, SvN = 0.7507765242
Across bond b=89, SvN = 0.8508526451
Across bond b=90, SvN = 0.7198568565
Across bond b=91, SvN = 0.8299632779
Across bond b=92, SvN = 0.6811387813
Across bond b=93, SvN = 0.8051887261
Across bond b=94, SvN = 0.6301060132
Across bond b=95, SvN = 0.7751146054
Across bond b=96, SvN = 0.5566286774
Across bond b=97, SvN = 0.7377158962
Across bond b=98, SvN = 0.4295559515
Across bond b=99, SvN = 0.6931471806

